# 0b7e170c-4ac2-4650-9e27-73e94ef8bc21
# da39a3ee5e6b4b0d3255bfef95601890afd80709
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; 89652.7836100; 43124.1505568; 2.2964879; -0.1296031; 7.0414500; 2.1090393
1.9999561; 89651.1582474; 43123.0335426; 2.0545333; -0.1139578; 7.6169541; 1.7878674
3.9999122; 89649.2985569; 43122.2973477; 1.8492449; -0.0909919; 8.0727506; 1.5536439
5.9998683; 89647.3156236; 43121.9166314; 1.6732952; -0.0851600; 8.4488900; 1.3329259
7.9998244; 89645.3160705; 43121.8792468; 1.5067333; -0.0820481; 8.7587287; 1.3322713
9.9997804; 89643.3404017; 43122.1688250; 1.3452159; -0.0780176; 9.0578307; 1.4185579
11.9997365; 89641.4364135; 43122.7592883; 1.1980335; -0.0684217; 9.3658103; 1.6606924
13.9996926; 89639.6251137; 43123.6051859; 1.0738800; -0.0560243; 9.7139604; 2.1555304
15.9996487; 89637.9119515; 43124.6551909; 0.9708770; -0.0473863; 10.1480520; 2.6495652
17.9996048; 89636.3156932; 43125.8580104; 0.8799339; -0.0453887; 10.6574381; 3.3234515
19.9995609; 89634.8403977; 43127.1950506; 0.7892748; -0.0448695; 11.2638582; 4.3873060
21.9995170; 89633.4886104; 43128.6481872; 0.7146349; -0.0291721; 12.0176262; 5.0959429
23.9994731; 89632.2163917; 43130.1853977; 0.6735918; -0.0127193; 12.8377048; 5.7940733
25.9994291; 89630.9711644; 43131.7728584; 0.6608251; -0.0011537; 13.7106691; 6.6764488
27.9993852; 89629.7447262; 43133.3522098; 0.6603195; 0.0006349; 14.6522236; 7.2878905
29.9993413; 89628.5142475; 43134.9332405; 0.6623498; 0.0006313; 15.6153315; 7.8357489
31.9992974; 89627.2852893; 43136.5084807; 0.6622778; -0.0005310; 16.5885770; 7.5407574
33.9992535; 89626.0548845; 43138.0863089; 0.6629004; 0.0011574; 17.4740738; 6.2808574
35.9992096; 89624.8216837; 43139.6606975; 0.6660678; 0.0013311; 18.1787275; 4.3052480
37.9991657; 89623.5849446; 43141.2312411; 0.6676702; 0.0001905; 18.6463601; -10.1604438
39.9991218; 89622.3474078; 43142.8029661; 0.6654526; -0.0024112; 17.5227242; -9.8199491
41.9990778; 89621.1156165; 43144.3828831; 0.6582593; -0.0045763; 16.3635855; -9.3491865
43.9990339; 89619.9023073; 43145.9688599; 0.6471881; -0.0062130; 15.1779776; -8.4855526
45.9989900; 89618.7036143; 43147.5716124; 0.6383400; -0.0025594; 14.0153323; -7.8161478
47.9989461; 89617.5221578; 43149.1720057; 0.6313891; -0.0081556; 12.8516783; -7.0547374
49.9989022; 89616.3589210; 43150.8030643; 0.6040053; -0.0198644; 11.7024487; -5.8430319
51.9988583; 89615.2701807; 43152.4718976; 0.5461648; -0.0377723; 10.6571896; -4.8575765
53.9988144; 89614.3025665; 43154.2301858; 0.4554651; -0.0517487; 9.7028764; -4.1733953
55.9987705; 89613.5246333; 43156.0773166; 0.3363582; -0.0683628; 8.8007157; -5.5920716
57.9987265; 89613.0238553; 43158.0397273; 0.1430504; -0.1288510; 7.4219136; -3.1434660
59.9986826; 89613.0389863; 43159.9975189; -0.1669598; -0.1504936; 6.5200623; -1.2621528
61.9986387; 89613.6172316; 43161.9168767; -0.3920156; -0.0767717; 6.1206791; -0.7631577
63.9985948; 89614.5807468; 43163.7356345; -0.6105984; -0.1647008; 5.8660165; 0.9881108
65.9985509; 89616.0266436; 43164.9987886; -1.1432775; -0.2834096; 6.1937473; 1.7380806
67.9985070; 89617.8735341; 43165.4475029; -1.4824318; -0.1546771; 6.7316176; 1.3985661
69.9984631; 89619.8996700; 43165.3091553; -1.7865550; -0.1259250; 7.1350415; 1.1457507
71.9984192; 89621.8011574; 43164.6593198; -2.0064146; -0.1032311; 7.4492764; 1.1836220
73.9983753; 89623.5478515; 43163.6109249; -2.2108118; -0.0901512; 7.7605478; 1.2485696
75.9983313; 89625.0364972; 43162.2938955; -2.3751170; -0.0775014; 8.0759069; 1.7628916
77.9982874; 89626.3181293; 43160.7404405; -2.5261253; -0.0706336; 8.5012754; 2.2631609
79.9982435; 89627.3540681; 43159.0508253; -2.6514367; -0.0537163; 9.0179891; 2.8399431
81.9981996; 89628.2122341; 43157.2476008; -2.7354617; -0.0300438; 9.6272349; 4.2065989
83.9981557; 89628.9502562; 43155.3960195; -2.7861211; -0.0208829; 10.4646872; 5.1942781
85.9981118; 89629.6139222; 43153.5060971; -2.8179365; -0.0097383; 11.4143039; 6.3950443
87.9980679; 89630.2407161; 43151.6036389; -2.8244008; 0.0032216; 12.4846285; -0.3656134
89.9980240; 89630.8776940; 43149.7023877; -2.8096334; 0.0112722; 12.4259216; -2.4392167
91.9979800; 89631.5561627; 43147.8196139; -2.7795137; 0.0179668; 12.0269229; -4.6093087
93.9979361; 89632.2993258; 43145.9674961; -2.7388767; 0.0228602; 11.2343244; -3.7154469
95.9978922; 89633.1288109; 43144.1549957; -2.6817182; 0.0347891; 10.5521839; -3.3073155
97.9978483; 89634.0813045; 43142.4034370; -2.6008286; 0.0491696; 9.9055345; -2.9453494
99.9978044; 89635.2092334; 43140.7456424; -2.4801763; 0.0709846; 9.2918499; -2.4380003
101.9977605; 89636.5414684; 43139.2673136; -2.3370808; 0.0701132; 8.7513820; -3.1513039
103.9977166; 89638.1041117; 43137.9634990; -2.1916740; 0.0860688; 7.9988591; -4.7116556
105.9976727; 89639.8548001; 43136.9950274; -1.9219700; 0.2035947; 6.7182988; -1.6875714
107.9976287; 89641.7821847; 43136.7621863; -1.4686096; 0.1949439; 6.1955953; -0.7683505
109.9975848; 89643.7464063; 43137.2762290; -1.1947164; 0.1034003; 5.9423957; -0.5992165
111.9975409; 89645.4861406; 43138.1995122; -0.9482269; 0.1791834; 5.7371817; 0.5698247
113.9974970; 89646.7594684; 43139.7069427; -0.4161884; 0.2747277; 5.9324955; 1.4543234
115.9974531; 89647.1653265; 43141.5903317; -0.0576874; 0.1230640; 6.4040353; 1.6284693
117.9974092; 89647.0677546; 43143.6152537; 0.1424032; 0.0868204; 6.8938670; 1.7774223
119.9973653; 89646.6057434; 43145.5918115; 0.3171335; 0.0835151; 7.3915448; 2.6527797
121.9973214; 89645.8514706; 43147.4471469; 0.4412426; 0.0418248; 8.0774885; 3.5742580
123.9972774; 89644.9381165; 43149.2341504; 0.4977429; 0.0230675; 8.9186624; 4.6084106
125.9972335; 89643.9509633; 43150.9609553; 0.5393366; 0.0183047; 9.8982714; 6.0611618
127.9971896; 89642.8966674; 43152.6617950; 0.5677224; 0.0100819; 11.0553106; 6.8055286
129.9971457; 89641.8086792; 43154.3395760; 0.5809792; 0.0043397; 12.2246230; 7.5399541
131.9971018; 89640.7063608; 43156.0070275; 0.5860779; 0.0009124; 13.4015134; 7.4138980
133.9970579; 89639.5983152; 43157.6707277; 0.5895795; 0.0025866; 14.4656664; 7.5672680
135.9970140; 89638.4798726; 43159.3310129; 0.5969578; 0.0052564; 15.4765600; 7.3537448
137.9969701; 89637.3451154; 43160.9775731; 0.6111003; 0.0087801; 16.3993367; -0.4381497
139.9969261; 89636.1806879; 43162.6088893; 0.6287903; 0.0089000; 16.3458155; -4.7347417
141.9968822; 89634.9972209; 43164.2083881; 0.6428671; 0.0021331; 15.7558603; -7.6647241
143.9968383; 89633.7998424; 43165.8135497; 0.6352230; -0.0068416; 14.7508952; -6.6099040
145.9967944; 89632.6148868; 43167.4201569; 0.6426103; 0.0138750; 13.8256962; -6.1530294
147.9967505; 89631.3717427; 43169.0131834; 0.6867319; 0.0264197; 12.9049718; -5.6964483
149.9967066; 89630.0666736; 43170.5135762; 0.7484080; 0.0361247; 11.9897041; -5.0751129
151.9966627; 89628.6444477; 43171.9364409; 0.8220607; 0.0364661; 11.1109405; -4.6861036
153.9966188; 89627.1563966; 43173.2194227; 0.9010941; 0.0484083; 10.2327413; -3.9554100
155.9965749; 89625.5231443; 43174.3815809; 1.0029072; 0.0432954; 9.4280275; -2.5985129
157.9965309; 89623.7950853; 43175.4047295; 1.0608899; 0.0170287; 8.8596772; -6.1328622
159.9964870; 89621.9887387; 43176.3927426; 1.0699816; -0.0111180; 7.3459492; -5.2921971
161.9964431; 89620.2816001; 43177.3905877; 0.9758193; -0.1538331; 5.7266610; -2.2511361
163.9963992; 89619.0773985; 43178.8640855; 0.2968197; -0.3822855; 4.8775300; 0.0734097
165.9963553; 89618.9801808; 43180.7980748; -0.1201669; -0.1297801; 4.9075382; 0.4723915
167.9963114; 89619.4820744; 43182.8185718; -0.3700154; -0.1342070; 5.0964160; 0.8169957
169.9962675; 89620.4657684; 43184.5371470; -0.6860954; -0.1825120; 5.4075287; 1.3644470
171.9962236; 89621.9575151; 43185.8294039; -1.0149804; -0.1480965; 5.8905887; 1.4120247
173.9961796; 89623.8104055; 43186.6418004; -1.2923067; -0.1216396; 6.3519296; 1.2755503
